id,citation
117,"Infante-Villarroel, Mariana. 2015. Inventory of Social Protection Programs in Myanmar. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22321 License: CC BY 3.0 IGO."
118,"World Bank Group. 2014. Republic of Iraq Public Expenditure Review : Toward More Efficient Spending for Better Service Delivery. World Bank Study;. Washington, DC: World Bank Group. © World Bank. https://openknowledge.worldbank.org/handle/10986/19281 License: CC BY 3.0 IGO."
119,"World Bank Group. 2015. India Development Update, April 2015 : Towards a Higher Growth Path. India development update;. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21872 License: CC BY 3.0 IGO."
120,"World Bank. 2015. Pakistan Development Update, April 2015. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21752 License: CC BY 3.0 IGO."
121,"World Bank. 2015. Egypt Economic Monitor, Spring 2015 : Paving the Way to a Sustained Recovery. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22071 License: CC BY 3.0 IGO."
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,"Mele, Gianluca. 2014. Mauritania Economic Update, July 2014. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19973 License: CC BY 3.0 IGO."
182,"Sibley, Jonathan; Ivaschenko, Alex; Pagau, Kerry; Tanhchareun, Tom. 2014. The New Ireland Social Pension : A Review of the New Ireland Social Pension and Implications for the Papua New Guinea National Social Pension. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22525 License: CC BY 3.0 IGO."
183,"World Bank. 2014. Indonesia Economic Quarterly, December 2014 : Delivering Change. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21086 License: CC BY 3.0 IGO."
184,"World Bank. 2015. FYR of Macedonia : Measuring Welfare using the Survey of Income and Living Conditions. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22504 License: CC BY 3.0 IGO."
185,"Evans, David K.; Popova, Anna. 2014. Cost-Effectiveness Measurement in Development : Accounting for Local Costs and Noisy Impacts. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20333 License: CC BY 3.0 IGO."
186,"Cord, Louise; Barriga Cabanillas, Oscar; Lucchetti, Leonardo; Rodriguez Castelan, Carlos; Sousa, Liliana D.; Valderrama, Daniel. 2014. Inequality Stagnation in Latin America in the Aftermath of the Global Financial Crisis. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21141 License: CC BY 3.0 IGO."
187,"World Bank Group. 2015. Poverty and Social impact Analysis : Strengthening Safety Nets in Djibouti. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21790 License: CC BY 3.0 IGO."
188,"World Bank. 2015. Guinea-Bissau Country Economic Memorandum : Terra Ranca! A Fresh Start, Summary. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21600 License: CC BY 3.0 IGO."
189,"World Bank Group. 2014. Zambia Economic Brief, December 2014, Issue 4 : Financial Services - Reaching Every Zambian. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21055 License: CC BY 3.0 IGO."
190,"Ovadiya, Mirey; Kryeziu, Adea; Masood, Syeda; Zapatero, Eric. 2015. Social Protection in Fragile and Conflict-Affected Countries : Trends and Challenges. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22792 License: CC BY 3.0 IGO."
191,"""Skoufias, Emmanuel, Mishel Unar, and Teresa Gonzalez de Cossio. ""The poverty impacts of cash and in-kind transfers: experimental evidence from rural Mexico."" Journal of Development Effectiveness 5, no. 4 (2013): 401-429."""
192,"Brenton, Paul; Portugal-Perez, Alberto; Regolo, Julie. 2014. Food Prices, Road Infrastructure, and Market Integration in Central and Eastern Africa. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19340 License: CC BY 3.0 IGO."
193,"Olken, Benjamin A., Junko Onishi, and Susan Wong. Should Aid Reward Performance? Evidence from a field experiment on health and education in Indonesia. No. w17892. National Bureau of Economic Research, 2012."
194,"Pape, Utz. 2014. South Sudan : Impact of a Continued Internal Conflict on Food Security and Poverty. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22524 License: CC BY 3.0 IGO."
195,"Cont, Walter; Porto, Guido. 2014. Measuring the Impact of a Change in the Price of Cashew Received by Exporters on Farmgate Prices and Poverty in Guinea-Bissau. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20369 License: CC BY 3.0 IGO."
196,"World Bank. 2014. When Prosperity is Not Shared : The Weak Links between Growth and Equity in the Dominican Republic. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17826 License: CC BY 3.0 IGO."
197,"Grosh, Margaret; Bussolo, Maurizio; Freije, Samuel. 2014. Understanding the Poverty Impact of the Global Financial Crisis in Latin America and the Caribbean. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/18727 License: CC BY 3.0 IGO."
198,"Afram, Gabi G.. 2012. The Remittance Market in India : Opportunities, Challenges, and Policy Options. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/2228 License: CC BY 3.0 IGO."
199,"Brosio, Giorgio; Singh, Raju Jan. 2014. Revenue Sharing of Natural Resources in Africa : Reflections from a Review of International Practices. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20062 License: CC BY 3.0 IGO."
200,"Rodriguez, Diego J.; Suardi, Mario A.; Ham, Marcel; Mimmi, Luisa M.; Goksu, Amanda J.. 2014. Applying Results-Based Financing in Water Investments. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20041 License: CC BY 3.0 IGO."
201,"Golan, Jennifer; Sicular, Terry; Umapathi, Nithin. 2014. Any Guarantees? China's Rural Minimum Living Standard Guarantee Program.Social protection and labor discussion paper;no. 1423. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19976 License: CC BY 3.0 IGO."
202,"World Bank. 2013. Tanzania Economic Update, December 2013 : Raising the Game--Can Tanzania Eradicate Extreme Poverty?.Tanzania economic update;issue no. 4. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16989 License: CC BY 3.0 IGO."
203,"Baez, Javier E.; Lucchetti, Leonardo; Genoni, Maria E.; Salazar, Mateo. 2015. Gone with the Storm : Rainfall Shocks and Household Well-Being in Guatemala. Policy Research Working Paper;No. 7177. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21396 License: CC BY 3.0 IGO."
204,"World Bank Group. 2015. The Socio-Economic Impacts of Ebola in Liberia : Results from a High Frequency Cell Phone Survey. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21624 License: CC BY 3.0 IGO."
205,"World Bank. 2014. Tajikistan : Fiscal Risks from State-Owned Enterprises. Takijistan policy notes on public expenditures;policy note no. 5. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20749 License: CC BY 3.0 IGO."
206,"Baghdassarian, William; Mele, Gianluca; Pradelli, Juan. 2014. Assessing Public Debt Sustainability in Mauritania with a Stochastic Framework. Policy Research Working Paper;No. 7088. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20628 License: CC BY 3.0 IGO."
207,"World Bank Group. 2014. Tajikistan : Moderated Growth, Heightened Risks. Tajikistan Economic Report;No.6. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20674 License: CC BY 3.0 IGO."
208,"Kjellgren, Annika; Jones-Pauly, Christina; El-Tayeb Alyn, Hadyiat; Tadesse, Endashaw; Vermehren, Andrea. 2014. Sudan Social Safety Net Assessment. Social protection and labor discussion paper;no. 1415. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20054 License: CC BY 3.0 IGO."
209,"""Independent Evaluation Group. 2014. Brazil Country Program Evaluation, FY2004-11 : Evaluation of the World Bank Group Program. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/20523 License: CC BY 3.0 IGO."
210,"Lundberg, Mattias; Mulaj, Florentina. 2014. Enhancing Financial Capability and Behavior in Low- and Middle-Income Countries. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20085 License: CC BY 3.0 IGO."
211,"World Bank. 2014. Angola Economic Update, June 2014. Angola economic update;no. 2. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19314 License: CC BY 3.0 IGO."
212,"Ag_nor, Pierre-Richard; Canuto, Otaviano. 2013. Gender Equality and Economic Growth in Brazil : A Long-run Analysis. Policy Research Working Paper;No. 6348. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13174 License: CC BY 3.0 IGO."
213,"Hwang, Helena. 2014. Building Monitoring and Evaluation Capacity in Young Systems : The Experiences of Rwanda, Vietnam, and Yemen. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20023 License: CC BY 3.0 IGO."
214,"McKenzie, David; Yang, Dean. 2014. Evidence on Policies to Increase the Development Impacts of International Migration. Policy Research Working Paper;No. 7057. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20505 License: CC BY 3.0 IGO."
215,"Khandker, Shahidur R.; Samad, Hussain A.. 2014. Dynamic Effects of Microcredit in Bangladesh. Policy Research Working Paper;No. 6821. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18126 License: CC BY 3.0 IGO."
216,"Tesliuc, Cornelia; Silverio Marques, Jose; Mookodi, Lillian; Braithwaite, Jeanine; Sharma, Siddarth; Ntseane, Dolly. 2013. Botswana Social Protection. Social protection and labor discussion paper;no. 1405. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18968 License: CC BY 3.0 IGO."
217,"Brenner, Stephan, Adamson S. Muula, Paul Jacob Robyn, Till B_rnighausen, Malabika Sarker, Don P. Mathanga, Thomas Bossert, and Manuela De Allegri. ""Design of an impact evaluation using a mixed methods model_an explanatory assessment of the effects of results-based financing mechanisms on maternal healthcare services in Malawi."" BMC health services research 14, no. 1 (2014): 1."
218,"World Bank. 2013. Bangladesh - Poverty Assessment : Assessing a Decade of Progress in Reducing Poverty, 2000-2010. Bangladesh development series;paper no. 31. World Bank, Dhaka. © World Bank. https://openknowledge.worldbank.org/handle/10986/16622 License: CC BY 3.0 IGO."
219,"Devarajan, Shantayanan; Dissou, Yazid; Go, Delfin S.; Robinson, Sherman. 2014. Budget Rules and Resource Booms : A Dynamic Stochastic General Equilibrium Analysis. Policy Research Working Paper;No. 6984. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19355 License: CC BY 3.0 IGO."
220,"Keefer, Philip; Milanovic, Branko. 2014. Party Age and Party Color : New Results on the Political Economy of Redistribution and Inequality. Policy Research Working Paper;No. 7129. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20701 License: CC BY 3.0 IGO."
221,"Tesliuc, Cornelia; Silverio Marques, Jose; Mookodi, Lillian; Braithwaite, Jeanine; Sharma, Siddarth; Ntseane, Dolly. 2013. Botswana Social Protection. Social protection and labor discussion paper;no. 1405. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18968 License: CC BY 3.0 IGO."
222,"Hwang, Helena. 2014. Building Monitoring and Evaluation Capacity in Young Systems : The Experiences of Rwanda, Vietnam, and Yemen. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20023 License: CC BY 3.0 IGO."
223,"Khandker, Shahidur R.; Samad, Hussain A.. 2014. Dynamic Effects of Microcredit in Bangladesh. Policy Research Working Paper;No. 6821. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18126 License: CC BY 3.0 IGO."
224,"World Bank Group. 2014. Cambodia's Main Challenges in Improving Health among the Poor. Health, nutrition, and population (HNP) knowledge brief;. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21061 License: CC BY 3.0 IGO."
225,"Burt, Alison; Hughes, Barry; Milante, Gary. 2014. Eradicating Poverty in Fragile States: Prospects of Reaching the ""High-Hanging"" Fruit by 2030. Policy Research Working Paper;No. 7002. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19392 License: CC BY 3.0 IGO."
226,"Ag_nor, Pierre-Richard; Canuto, Otaviano. 2013. Gender Equality and Economic Growth in Brazil : A Long-run Analysis. Policy Research Working Paper;No. 6348. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13174 License: CC BY 3.0 IGO."
227,"Independent Evaluation Group. 2014. World Bank Group Activities in Situations of Conflict and Violence : An IEG Evaluation. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20762 License: CC BY 3.0 IGO."
228,"World Bank. 2014. Social Gains in the Balance : A Fiscal Policy Challenge for Latin America and the Caribbean. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17198 License: CC BY 3.0 IGO."
229,"World Bank. 2013. Bangladesh - Poverty Assessment : Assessing a Decade of Progress in Reducing Poverty, 2000-2010. Bangladesh development series;paper no. 31. World Bank, Dhaka. © World Bank. https://openknowledge.worldbank.org/handle/10986/16622 License: CC BY 3.0 IGO."
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,"World Bank. 2014. Prosperity for All / Ending Extreme Poverty : A Note for the World Bank Group Spring Meetings 2014. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17701 License: Attribution-NonCommercial-NoDerivs 3.0 IGO."
242,"Skoufias, Emmanuel. 2012. The Poverty and Welfare Impacts of Climate Change Quantifying the Effects, Identifying the Adaptation Strategies. Directions in Development ; Poverty. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/9384 License: CC BY 3.0 IGO."
243,"Cabanillas, Oscar Barriga; Lugo, Maria Ana; Nielsen, Hannah; Rodriguez Castelan, Carlos; Zanetti, Maria Pia. 2014. Is Uruguay More Resilient This Time? Distributional Impacts of a Crisis Similar to the 2001/02 Argentine Crisis. Policy Research Working Paper;No. 6849. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18334 License: CC BY 3.0 IGO."
244,"Andrews, Colin; Kryeziu, Adea; Seo, Dahye. 2014. World Bank Support for Social Safety Nets 2007-2013 : A Review of Financing, Knowledge Services, and Results. Social protection and labor discussion paper;no. 1422. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20034 License: CC BY 3.0 IGO."
245,"Williams, Asha; Cheston, Timothy; Coudouel, Aline; Subran, Ludovic. 2013. Tailoring Social Protection to Small Island Developing States : Lessons Learned from the Caribbean. Social Protection & Labor Discussion Paper;No. 1306. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16102 License: CC BY 3.0 IGO."
246,"Devarajan, Shanta; Mottaghi, Lili. 2014. MENA Quarterly Economic Brief, July 2014 : Predictions, Perceptions and Economic Reality. MENA Quarterly Economic Brief;No. 3. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/19283 License: CC BY 3.0 IGO."
247,"Ianchovichina, Elena. 2014. On Shared Prosperity in the Middle East and North Africa. MENA knowledge and learning quick notes series;no. 125. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20546 License: CC BY 3.0 IGO."
248,"Tesliuc, Cornelia; Smith, W. James; Sunkutu, Musonda Rosemary. 2013. Zambia : Using Social Safety Nets to Accelerate Poverty Reduction and Share Prosperity. Social protection and labor discussion paper;no. 1413. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20140 License: CC BY 3.0 IGO."
249,"Sander, Frederico Gil; Jalil, Intan Nadia; Ali, Rabia. 2013. Malaysia Economic Monitor, December 2013 : High-Performing Education. World Bank, Bangkok. © World Bank. https://openknowledge.worldbank.org/handle/10986/16705 License: CC BY 3.0 IGO."
250,"World Bank. 2013. If You Give People Cash, Does It Help?. From evidence to policy;. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22607 License: CC BY 3.0 IGO."
251,"Arnold, Margaret; Mearns, Robin; Oshima, Kaori; Prasad, Vivek. 2014. Climate and Disaster Resilience : The Role for Community-Driven Development. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17553 License: CC BY 3.0 IGO."
252,"Ramana, Gandham NV; Chepkoech, Rose; Walelign, Netsanet. 2013. Improving Universal Primary Health Care by Kenya : A Case Study of the Health Sector Services Fund. UNICO Studies Series;No. 5. World Bank, Washington DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13291 License: CC BY 3.0 IGO."
253,"World Bank. 2014. Lebanon Economic Monitor, Fall 2014 : Downside Risks Materialize. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21969 License: CC BY 3.0 IGO."
254,"World Bank. 2014. Heat Tariff Reform and Social Impact Mitigation : Recommendations for a Sustainable District Heating Sector in Belarus. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20021 License: CC BY 3.0 IGO."
255,"World Bank Group. 2014. A Vision for Nepal : Policy Notes for the Government, Volume 1. Synthesis Report. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20098 License: CC BY 3.0 IGO."
256,"World Bank Group. 2014. Philippine Economic Update, August 2014 : Investing in the Future, Sharing Growth and Job Opportunities for All. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19974 License: CC BY 3.0 IGO."
257,"De Arcangelis, Giuseppe; Joxhe, Majlinda; McKenzie, David; Tiongson, Erwin; Yang, Dean. 2014. Directing Remittances to Education with Soft and Hard Commitments : Evidence from a Lab-in-the-Field Experiment and New Product Take-up among Filipino Migrants in Rome. Policy Research Working Paper;No. 6896. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18790 License: CC BY 3.0 IGO."
258,"Finn, Dan; Grun, Rebekka; Herrera-Sosa, Katia; Immervoll, Herwig; Ridao-Cano, Cristobal; Uysal, Gokce; Yener, Ahmet Levent. 2013. Activating Vulnerable People into Good Jobs in Turkey. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21124 License: CC BY 3.0 IGO."
259,"World Bank. 2014. Migrants' Remittances from Italy : International Remittances and Access to Financial Services for migrants in Turin, Italy. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21966 License: CC BY 3.0 IGO."
260,"World Bank. 2014. Mobile at the Base of the Pyramid : Ghana, Mozambique, Nigeria, Zambia Summary Report. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21074 License: CC BY 3.0 IGO."
261,"Skoufias, Emmanuel; Narayan, Ambar; Dasgupta, Basab; Kaiser, Kai. 2014. Electoral Accountability and Local Government Spending in Indonesia. Policy Research Working Paper;No. 6782. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17326 License: CC BY 3.0 IGO."
262,"World Bank Group. 2014. Republic of Armenia Public Expenditure Review : Expanding the Fiscal Envelope. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21063 License: CC BY 3.0 IGO."
263,"World Bank. 2014. Kyrgyz Republic Public Expenditure Review Policy Notes : Social Assistance. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19307 License: CC BY 3.0 IGO."
264,"Fuchs, Alan; Rodriguez-Chamussy, Lourdes. 2014. Voter Response to Natural Disaster Aid : Quasi-Experimental Evidence from Drought Relief Payments in Mexico. Policy Research Working Paper;No. 6836. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17723 License: CC BY 3.0 IGO."
265,"World Bank. 2014. Pakistan Development Update, April 2014. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17788 License: CC BY 3.0 IGO."
266,"Bhutan National Statistics Bureau; World Bank. 2014. Bhutan Poverty Assessment 2014. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20353 License: CC BY 3.0 IGO."
267,"World Bank Group. 2014. A Vision for Nepal : Policy Notes for the Government, Volume 2. Sector Notes. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20099 License: CC BY 3.0 IGO."
268,"World Bank. 2013. From Universal Price Subsidies to Modern Social Assistance : The Political Economy of Reform. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16723 License: CC BY 3.0 IGO."
269,"World Bank. 2014. Indonesia Economic Quarterly FY14 : Compilation of the July 2013, October 2013, December 2013 and March 2014 Indonesia Economic Quarterly Reports. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20013 License: CC BY 3.0 IGO."
270,"World Bank. 2013. Timor-Leste Social Assistance : Public Expenditure and Program Performance Report. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16454 License: CC BY-NC-ND 3.0 IGO."
271,"Pallares-Miralles, Montserrat; Romero, Carolina; Whitehouse, Edward. 2012. International Patterns of Pension Provision II : A Worldwide Overview of Facts and Figures. Social Protection and Labor Discussion Paper;No. 1211.World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13560 License: CC BY 3.0 IGO."
272,"World Bank. 2013. Republic of Senegal : Safety Net Assessment. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17575 License: CC BY 3.0 IGO."
273,"Gillingham, Robert. 2014. Fiscal Policy for Health Policy Makers. Health, Nutrition, and Population (HNP) discussion paper;. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18638 License: CC BY 3.0 IGO."
274,"Anderson, Kym; Ivanic, Maros; Martin, Will. 2013. Food Price Spikes, Price Insulation, and Poverty. Policy Research Working Paper;No. 6535. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/15893 License: CC BY 3.0 Unported."
275,"Umapathi, Nithin; Wang, Dewen; O'Keefe, Philip. 2013. Eligibility Thresholds for Minimum Living Guarantee Programs : International Practices and Implications for China. Social Protection and labor discussion paper;no. SP 1307. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17006 License: CC BY 3.0 IGO."
276,"Bruhn, Miriam; de Souza Leao, Luciana; Legovini, Arianna; Marchetti, Rogelio; Zia, Bilal. 2013. The Impact of High School Financial Education : Experimental Evidence from Brazil. Policy Research Working Paper;No. 6723. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16940 License: CC BY 3.0 IGO."
277,"Macours, Karen; Premand, Patrick; Vakis, Renos. 2013. Demand versus Returns? Pro-Poor Targeting of Business Grants and Vocational Skills Training. Policy Research Working Paper;No. 6389. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13173 License: CC BY 3.0 Unported."
278,"Andr_s, Luis; Biller, Dan; Herrera Dappe, MatOas. 2013. Reducing Poverty by Closing South Asia's Infrastructure Gap. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17847 License: CC BY 3.0 IGO."
279,"Van de gaer, Dirk; Vandenbossche, Joost; Figueroa, Jos_ Luis. 2013. Children's Health Opportunities and Project Evaluation : Mexico's Oportunidades Program. Policy Research Working Paper;No. 6345. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13131 License: CC BY 3.0 Unported."
280,"World Bank. 2014. Political Champions Partnership for Stimulating Insurance Penetration in Lower Income Countries : Initial Market Surveys Summary Note. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22432 License: CC BY 3.0 IGO."
281,"World Bank Group. 2013. Financing for Development Post-2015. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16310 License: CC BY 3.0 IGO."
282,"Perova, Elizaveta; Vakis, Renos. 2013. Improving Gender and Development Outcomes through Agency : Policy Lessons from Three Peruvian Experiences. Lima: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/16259 License: CC BY 3.0 Unported."
283,"Fiszbein, Ariel; Kanbur, Ravi; Yemtsov, Ruslan. 2013. Social Protection, Poverty and the Post-2015 Agenda. Policy Research Working Paper;No. 6469. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/15601 License: CC BY 3.0 Unported."
284,"Ravallion, Martin; Chen, Shaohua. 2013. Benefit Incidence with Incentive Effects, Measurement Errors and Latent Heterogeneity. Policy Research Working Paper;No.6573. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16006 License: CC BY 3.0 Unported."
285,"Blattman, Christopher; Green, Eric; Annan, Jeannie; Jamison, Julian. 2013. Building Women's Economic and Social Empowerment through Enterprise : An Experimental Assessment of the Women's Income Generating Support Program in Uganda. Logica study series;no. 1. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17862 License: CC BY 3.0 IGO."
286,"World Bank. 2013. Initial Market Assessment : Country Scoping Note--Haiti. Political Champions Group country note;.Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22431 License: CC BY 3.0 IGO."
287,"World Bank. 2014. Pakistan : Country Development Landscape. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20819 License: CC BY 3.0 IGO."
288,"Lopez-Acevedo, Gladys; Krause, Philipp; Mackay, Keith. 2012. Building Better Policies : The Nuts and Bolts of Monitoring and Evaluation Systems. World Bank Training Series. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/6015 License: CC BY 3.0 IGO."
289,"de la Fuente, Alejandro; Ortiz-Juarez, Eduardo; Rodriguez Castelan, Carlos. 2013. Living on the Edge : Vulnerability to Poverty and Public Transfers in Mexico. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16336 License: CC BY 3.0 IGO."
290,"World Bank. 2013. Indonesia : Urban Poverty and Program Review. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16301 License: CC BY 3.0 Unported."
291,"World Bank. 2014. High Food Prices, Latin American and the Caribbean Responses to a New Normal. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18639 License: CC BY 3.0 IGO."
292,"Vivid Economics. 2013. Results-Based Financing in the Energy Sector : An Analytical Guide. Energy Sector Management assistance Program (ESMAP);Technical report 004/13. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17481 License: CC BY 3.0 IGO."
293,"Vinuela, Lorena; Kaiser, Kai; Chowdhurie-Aziz, Monali. 2014. Intergovernmental Fiscal Management in Natural Resource-Rich Settings. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20679 License: CC BY 3.0 IGO."
294,"World Bank. 2013. Botswana Social Protection Assessment. Gaborone, Botswana. © World Bank. https://openknowledge.worldbank.org/handle/10986/17846 License: CC BY 3.0 IGO."
295,"World Bank. 2013. Where Have All the Poor Gone? : Cambodia Poverty Assessment 2013. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17546 License: CC BY 3.0 IGO."
296,"Go, Delfin S.; Robinson, Sherman; Thierfelder, Karen; Utz, Robert. 2013. Dutch Disease and Spending Strategies in a Resource-Rich Low-income Country : The Case of Niger. Policy Research Working Paper;No. 6691. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16923 License: CC BY 3.0 IGO."
