BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","azevedo2010simulating","Azevedo, Viviane MR & Robles, Marcos","Simulating the impact of policy changes in Mexico's PROGRESA/Oportunidades","Journal of Development Effectiveness",2,2,"","263--286",2010,"","","","","","","","","Taylor \& Francis","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","bottcher1978theory","B{\"o}ttcher, Carl Johan Friedrich; van Belle, Oenes Christoffel; Bordewijk, Paul & Rip, Arie","Theory of electric polarization","",2,,"","",1978,"","","","","","","","","Elsevier Science Ltd","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","babin1992attractors","Babin, Anatoli{\u\i} Vladimirovich & Vishik, Mark Iosifovich","Attractors of evolution equations","",,,"","",1992,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baird2012examining","Baird, Sarah & {\"O}zler, Berk","Examining the reliability of self-reported data on school participation","Journal of Development Economics",98,1,"","89--93",2012,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baird2007aggregate","Baird, Sarah; Friedman, Jed & Schady, Norbert","Aggregate Income Shocks and Infant Mortality in the Developing World","",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baird2011cash","Baird, Sarah; McIntosh, Craig & {\"O}zler, Berk","Cash or condition? Evidence from a cash transfer experiment","The Quarterly Journal of Economics",,,"","qjr032",2011,"","","","","","","","","Oxford University Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","baland2000child","Baland, Jean-Marie & Robinson, James A","Is child labor inefficient?","journal of Political Economy",108,4,"","663--679",2000,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","banerjee2005remedying","Banerjee, Abhijit; Cole, Shawn; Duflo, Esther & Linden, Leigh","Remedying education: Evidence from two randomized experiments in India","",,,"","",2005,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
13,"","banerjee2005remedying","Banerjee, Abhijit; Cole, Shawn; Duflo, Esther & Linden, Leigh","Remedying education: Evidence from two randomized experiments in India","",,,"","",2005,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
7,"","banerjeemichael","Banerjee, Abhijit & Jacob, Suraj","Michael Kremer with Jenny Lanjouw and Peter Lanjouw (2001)“Promoting School Participation in Rural Rajasthan: Results from Some Prospective Trials,”","Harvard University and Massachusetts Institute of Technology, Cambridge",,,"","",,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","banerjeejennifer","Banerjee, Abhijit; Jacob, Suraj & Kremer, Michael","with Jennifer Lanjouw and Peter Lanjouw. 2005.“Moving to Universal Primary Education: Costs and Tradeoffs.”","Unpublished manuscript, Massachusetts Institute of Technology, Cambridge, MA",,,"","",,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","banerjee1993occupational","Banerjee, Abhijit V & Newman, Andrew F","Occupational choice and the process of development","Journal of political economy",,,"","274--298",1993,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barham2005providing","Barham, Tania","Providing a healthier start to life: the impact of conditional cash transfer programs on Infant Mortality","",,,"","",2005,"","","","","","","","","Citeseer","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barham2005providing","Barham, Tania","Providing a healthier start to life: the impact of conditional cash transfers on infant mortality","Available at SSRN 1023786",,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barham2005impact","Barham, Tania","The impact of the Mexican conditional cash transfer on immunization rates","Unpublished manuscript, Department of Agriculture and Resource Economics, University of California at Berkeley, CA",,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barham2005impact","Barham, Tania","The impact of the Mexican conditional cash transfer program on immunization rates","Boulder: Department of Agriculture and Resource Economics, University of Colorado",,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barham2008effect","Barham, Tania & Maluccio, John","The effect of conditional cash transfers on vaccination coverage in Nicaragua","Health and Society Working Paper HS2008-01, Institute of Behavioral Science, University of Colorado at Boulder, CO",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","barrera2008conditional","Barrera-Osorio, Felipe; Bertrand, Marianne; Linden, Leigh L & Perez-Calle, Francisco","Conditional cash transfers in education design features, peer and sibling effects evidence from a randomized experiment in Colombia","",,,"","",2008,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barrera2008conditional","Barrera-Osorio, Felipe; Bertrand, Marianne; Linden, Leigh L & Perez-Calle, Francisco","Conditional Cash Transfers in Education Design Features, Peer and Sibling Effects Evidence from a Randomized Experiment in Colombia. NBER Working Paper No. 13890.","National Bureau of Economic Research",,,"","",2008,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","barrientos2008social","Barrientos, Armando","Social transfers and growth: A review","Available at SSRN 1538926",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","basu1998economics","Basu, Kaushik & Van, Pham Hoang","The economics of child labor","American economic review",,,"","412--427",1998,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","behrman2000evaluation","Behrman, Jere; Hoddinott, John & others","An evaluation of the impact of PROGRESA on pre-school child height","International Food Policy Research Institute, Washington, DC",,,"","",2000,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","behrman2004evaluating","Behrman, Jere R; Cheng, Yingmei & Todd, Petra E","Evaluating preschool programs when length of exposure to the program varies: A nonparametric approach","Review of economics and statistics",86,1,"","108--132",2004,"","","","","","","","","MIT Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","behrman1995there","Behrman, Jere R & Deolalikar, Anil B","ARE THERE DIFFERENTIAL RETURNS TO SCHOOLING BY GENDER? THE CASE OF INDONESIAN LABOUR MARKETS†","Oxford Bulletin of Economics and Statistics",57,1,"","97--117",1995,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","behrman2005programme","Behrman, Jere R & Hoddinott, John","Programme evaluation with unobserved heterogeneity and selective implementation: The Mexican PROGRESA impact on child nutrition","Oxford bulletin of economics and statistics",67,4,"","547--569",2005,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","behrman2005long","Behrman, Jere R; Parker, Susan W & Todd, Petra E","Long-term impacts of the Oportunidades conditional cash transfer program on rural youth in Mexico","",,,"","",2005,"","","","","","","","","","","","Discussion papers//Ibero America Institute for Economic Research","","Discussion papers//Ibero America Institute for Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
7,"","behrman2000impact","Behrman, Jere R; Sengupta, Piyali & Todd, Petra","The impact of PROGRESA on achievement test scores in the first year","Washington, DC: International Food Policy Research Institute, processed",,,"","",2000,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","benveniste2008teaching","Benveniste, Luis; Marshall, Jeffery & Araujo, M Caridad","Teaching in Cambodia","",,,"","",2008,"","","","","","","","","Washington, DC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bernanke2007level","Bernanke, Ben S & others","The level and distribution of economic well-being","Speech given to the Greater Omaha Chamber of Commerce, Omaha, NE",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bertrand2003public","Bertrand, Marianne; Mullainathan, Sendhil & Miller, Douglas","Public policy and extended families: Evidence from pensions in South Africa","the world bank economic review",17,1,"","27--50",2003,"","","","","","","","","World Bank","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","besley1988simple","Besley, Timothy","A simple model for merit good arguments","Journal of Public economics",35,3,"","371--383",1988,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bettinger2006using","Bettinger, Eric & Slonim, Robert","Using experimental economics to measure the effects of a natural educational experiment on altruism","Journal of Public Economics",90,8,"","1625--1648",2006,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","biswas2010water","Biswas, Asit K & Tortajada, Cecilia","Water supply of Phnom Penh: an example of good governance","Water Resources Development",26,2,"","157--172",2010,"","","","","","","","","Taylor \& Francis","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","black2009earnings","Black, Dan; Kolesnikova, Natalia & Taylor, Lowell","Earnings functions when wages and prices vary by location","Journal of Labor Economics",27,1,"","21--47",2009,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","blank2002evaluating","Blank, Rebecca M","Evaluating welfare reform in the United States","",,,"","",2002,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
13,"","blank2002evaluating","Blank, Rebecca M","Evaluating welfare reform in the United States","",,,"","",2002,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
7,"","blank2002welfare","Blank, Rebecca M","Welfare Reform: What's Relevant for Europe?","",,,"","",2002,"","","","","","","","","CESifo Working Paper Series","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bloom2002new","Bloom, Dan; Anderson, Jacquelyn; Wavelet, Melissa; Gardiner, Karen N & Fishman, Michael E","New Strategies To Promote Stable Employment and Career Progression: An Introduction to the Employment Retention and Advancement Project.","",,,"","",2002,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bloom2001welfare","Bloom, Dan & Michalopoulos, Charles","How Welfare and Work Policies Affect Employment and Income: A Synthesis of Research.","",,,"","",2001,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bonjour2003returns","Bonjour, Dorothe; Cherkas, Lynn F; Haskel, Jonathan E; Hawkes, Denise D & Spector, Tim D","Returns to education: Evidence from UK twins","American Economic Review",,,"","1799--1812",2003,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","bourguignon2003impact","Bourguignon, Fran{\c{c}}ois","The impact of economic policies on poverty and income distribution: evaluation techniques and tools","",,,"","",2003,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","bourguignon2008impact","Bourguignon, Fran{\c{c}}ois; Bussolo, Maurizio & da Silva, Luiz A Pereira","The impact of macroeconomic policies on poverty and income distribution: macro-micro evaluation techniques and tools","",,,"","",2008,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2003ex","Bourguignon, Fran{\c{c}}ois & Ferreira, Francisco","Ex ante evaluation of policy reforms using behavioral models","The impact of economic policies on poverty and income distribution",,,"","123--142",2003,"","","","","","","","","World Bank-Oxford University Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2002beyond","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Leite, Phillippe","Beyond Oaxaca-Blinder: Accounting for Differences in Household Income Distributions across Countries”, World Bank Policy Research Working Paper 2828, Washington, DC (April)","",,,"","",2002,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2008beyond","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Leite, Phillippe G","Beyond Oaxaca--Blinder: Accounting for differences in household income distributions","The Journal of Economic Inequality",6,2,"","117--148",2008,"","","","","","","","","Springer","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2003conditional","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Leite, Phillippe G","Conditional cash transfers, schooling, and child labor: Micro-simulating Brazil's Bolsa Escola program","The World Bank Economic Review",17,2,"","229--254",2003,"","","","","","","","","World Bank","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","bourguignon2002beyond","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Leite, Phillippe George","Beyond Oaxaca-Blinder: accounting for differences in household income distributions across countries","",478,,"","",2002,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2002ex","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Leite, Phillippe G","Ex-ante evaluation of conditional cash transfer programs: the case of Bolsa Escola","World Bank Policy Research Working Paper",,2916,"","",2002,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2001prices","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG; Leite, Phillippe G; Delgado, G & Cardoso Jr, JCO","Prices, preferences or endowments? Accounting for excess inequality in Brazil","Encontro Brasileiro de Econometria",23,,"","",2001,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2007inequality","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Menendez, Marta","Inequality of opportunity in Brazil","Review of Income and Wealth",53,4,"","585--618",2007,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bourguignon2007equity","Bourguignon, Fran{\c{c}}ois; Ferreira, Francisco HG & Walton, Michael","Equity, efficiency and inequality traps: A research agenda","The Journal of Economic Inequality",5,2,"","235--256",2007,"","","","","","","","","Springer","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","brand2010benefits","Brand, Jennie E & Xie, Yu","Who benefits most from college? Evidence for negative selection in heterogeneous economic returns to higher education","American Sociological Review",75,2,"","273--302",2010,"","","","","","","","","Sage Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","bray2005alcohol","Bray, Jeremy W","Alcohol use, human capital, and wages","Journal of Labor Economics",23,2,"","279--312",2005,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","brown2008cash","Brown, Philip H & Agostini, Claudio A","Cash Transfers and Poverty Reduction in Chile","Unpublished manuscript, Colby College, Waterville, ME",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","camargo2001beneficio","Camargo, Jos{\'e} M{\'a}rcio & Ferreira, Francisco de Hollanda Guimar{\~a}es","O Beneficio Social \'Unico: uma proposta de reforma da pol\'\itica social no Brasil","",,,"","",2001,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","cameron2002did","Cameron, Lisa A","Did Social Safety Net Scholarships Reduce Drop-Out Rates During the Indonesian Economic Crisis?: Policy Research Working Paper","",2800,,"","",2002,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","carbonnel1975quality","Carbonnel, JP & Meybeck, M","Quality variations of the Mekong river at Phnom Penh, Cambodia, and chemical transport in the Mekong basin","Journal of Hydrology",27,3,"","249--265",1975,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
10,"","card2001can","Card, D & Lemieux, T","Can falling supply explain the rising return to college for younger men? A cohort-based analysis (Working Paper 7655)","",,,"","",2001,"","","","","","","","","Cambridge, MA: National Bureau of Economic Research","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","carneiro2008medium","Carneiro, Pedro & Galasso, Emanuela","Medium-term Effects of the program Chile Solidario: a preliminary Assessment","Presentation prepared for the Ministry of Planning, Santiago, Chile",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","carrillo2009efficient","Carrillo, Paul E & Jarr{\'\i}n, Juan Ponce","Efficient delivery of subsidies to the poor: Improving the design of a cash transfer program in Ecuador","Journal of Development Economics",90,2,"","276--284",2009,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","castaneda2005designing","Casta{\~n}eda, Tarsicio; Lindert, Kathy; de la Bri{\`e}re, B{\'e}n{\'e}dicte; Fernandez, Luisa; Hubert, Celia; Larra{\~n}aga, Osvaldo; Orozco, M{\'o}nica & Viquez, Roxana","Designing and implementing household targeting systems: lessons from Latin America and the United States","The World Bank, Social Protection Discussion Paper",526,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","chandler1999brother","Chandler, David P","Brother number one: A political biography of Pol Pot","",,,"","",1999,"","","","","","","","","Westview Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","chang1990model","Chang, Chen Chung & Keisler, H Jerome","Model theory","",,,"","",1990,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","chaudhury2008income","Chaudhury, N","Income transfers and female schooling: The impact of the female school stipend programme on public school enrolments in Punjab","Washington: The World bank",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","clark2013effect","Clark, Damon & Roayer, Heather","The effect of education on adult mortality and health: Evidence from Britain","The American Economic Review",103,6,"","2087--2120",2013,"","","","","","","","","American Economic Association","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","cohen2012single","Cohen, Jacob Willem","The single server queue","",,,"","",2012,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","crosby2001does","Crosby, Danielle A; Gennetian, Lisa A & Huston, Aletha C","Does child care assistance matter? The effects of welfare and employment programs on child care for preschool-and young school-aged children","MDRC, The Next generation, Working Paper Series",,3,"","",2001,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","david2001can","David, Card & Lemieux, Thomas","Can Falling Supply Explain the Rising Return to College for Younger Men? A Cohort-Based Analysis","Quarterly Journal of Economics",116,2,"","705--746",2001,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","de2008reconciling","De Brauw, Alan & Rozelle, Scott","Reconciling the Returns to Education in Off-Farm Wage Employment in Rural China","Review of Development Economics",12,1,"","57--71",2008,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","de2014cash","De Hoop, Jacobus & Rosati, Furio C","Cash transfers and child labor","The World Bank Research Observer",29,2,"","202--234",2014,"","","","","","","","","World Bank","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","de2007local","De Janvry, Alain; Finan, Frederico & Sadoulet, Elisabeth","Local governance and efficiency of conditional cash transfers: Bolsa Escola in Brazil","",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
6,"","de2006use","De Janvry, Alain & Sadoulet, Elizabeth","When to use a CCT versus a CT approach?","",26,,"","",2006,"","","","documento presentado en la tercera Conferencia internacional sobre transferencias en efectivo condicionadas, Estambul","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
6,"","de2005conditional","De Janvry, Alain & Sadoulet, Elisabeth","Conditional cash transfer programs for child human capital development: Lessons derived from experience in Mexico and Brazil","",,,"","",2005,"","","","presentation at the GRADE 25th Anniversary Conference,“Investigaci{\'o}n, Politicas y Desarrollo,” Lima, Peru","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","de2006uninsured","De Janvry, Alain; Sadoulet, Elisabeth; Solomon, Pantelis & Vakis, Renos","Uninsured risk and asset protection: Can conditional cash transfer programs serve as safety nets","The World Bank, Social Protection Working Paper",,,"","",2006,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","de2006protecting","De Janvry, Alain; Sadoulet, Elisabeth & Vakis, Renos","Protecting vulnerable children from uninsured risks: A new role for conditional cash transfer programs","Unpublished manuscript, University of California, Berkeley, September",,,"","",2006,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
